name,position
Ingrida Šimonytė,Prime Minister of Lithuania
Simonas Gentvilas,Minister of Environment
Dainius Kreivys,Minister of Energy
Aušrinė Armonaitė,Minister of Economy and Innovation
Gintarė Skaistė,Minister of Finance
Arvydas Anušauskas,Minister of National Defence
Simonas Kairys,Minister of Culture
Monika Navickienė,Minister of Social Security and Labour
Marius Skuodis,Minister of Transport and Communications
Arūnas Dulkys,Minister of Health
Jurgita Šiugždinienė,"Minister of Education, Science and Sport"
Evelina Dobrovolska,Minister of Justice
Gabrielius Landsbergis,Minister of Foreign Affairs
Agnė Bilotaitė,Minister of the Interior
Kęstutis Navickas,Minister of Agriculture
