id,name,relationship,relative,relativename
Q100371377,Arūnas Valinskas,father,Q719281,Arūnas Valinskas
Q100371377,Arūnas Valinskas,mother,Q541471,Ingrida Valinskienė
Q12681001,Žygimantas Pavilionis,father,Q1235376,Rolandas Pavilionis
Q145315,Ramūnas Karbauskis,sibling,Q4214550,Mindaugas Karbauskis
Q153167,Valdas Adamkus,father,Q57697441,Ignas Adamkavičius
Q153167,Valdas Adamkus,spouse,Q459263,Alma Adamkienė
Q16444907,Aušra Maldeikienė,spouse,Q952063,Eugenijus Maldeikis
Q164582,Vytautas Landsbergis,child,Q4253865,Vytautas V. Landsbergis
Q164582,Vytautas Landsbergis,father,Q644319,Vytautas Landsbergis-Žemkalnis
Q164582,Vytautas Landsbergis,mother,Q11109641,Ona Jablonskytė-Landsbergienė
Q17118365,Gabrielius Landsbergis,father,Q4253865,Vytautas V. Landsbergis
Q17118365,Gabrielius Landsbergis,spouse,Q31198833,Austeja Landsbergiene
Q1936326,Mindaugas Sinkevičius,father,Q59723,Rimantas Sinkevičius
Q211408,Virgilijus Alekna,child,Q107583947,Mykolas Alekna
Q270330,Viktorija Čmilytė-Nielsen,spouse,Q214713,Alexei Shirov
Q270330,Viktorija Čmilytė-Nielsen,spouse,Q708943,Peter Heine Nielsen
Q27577960,Simonas Gentvilas,father,Q204847,Eugenijus Gentvilas
Q556443,Kęstutis Glaveckas,spouse,Q541383,Rūta Rutkelytė
Q557932,Valentinas Mazuronis,child,Q512022,Andrius Mazuronis
Q57379,Dalia Grybauskaitė,father,Q17278674,Polikarpas Grybauskas
Q57379,Dalia Grybauskaitė,mother,Q12677896,Vitalija Korsakaitė
Q57663,Andrius Kubilius,father,Q4243603,Vytautas Kubilius
Q57663,Andrius Kubilius,mother,Q4178641,Janina Žėkaitė–Kubilienė
Q59723,Rimantas Sinkevičius,child,Q1936326,Mindaugas Sinkevičius
Q66821243,Diana Nausėdienė,spouse,Q9268379,Gitanas Nausėda
Q719281,Arūnas Valinskas,child,Q100371377,Arūnas Valinskas
Q719281,Arūnas Valinskas,spouse,Q541471,Ingrida Valinskienė
Q922691,Kęstutis Daukšys,child,Q109921212,Mindaugas Daukšys
Q9268379,Gitanas Nausėda,spouse,Q66821243,Diana Nausėdienė
Q940487,Gediminas Kazlauskas,spouse,Q16471024,Renata Kazlauskienė
Q952063,Eugenijus Maldeikis,spouse,Q16444907,Aušra Maldeikienė
