item,itemLabel,startDate,endDate,psid
Q110635,Arvydas Sekmokas,2009-02-10,2012-12-13,Q110635-252F5DEF-F571-4F30-9D27-5BB11DAB02B7
Q1157636,Dainius Kreivys,2020-12-11,,Q1157636-08A197F8-1557-4D63-AEED-446B8AC62D15
Q1228507,Algimantas Vladas Stasiukynas,1993-03-10,1995-05-15,Q1228507-1EC5901D-D527-45A7-9375-2A993DB98224
Q1634804,Saulius Aloyzas Bernardas Kutas,1996-02-23,1996-12-19,Q1634804-1F5332EC-562B-4E0E-BF92-E9B25895627A
Q1819142,Leonas Vaidotas Ašmantas,1990-03-17,1993-03-10,Q1819142-21AC7A06-7CD2-4E5A-A565-70C5F157E75D
Q18222912,Rokas Masiulis,2014-09-25,2016-12-13,Q18222912-49ACE26A-8EFE-43F8-B23E-C1917B039C30
Q6338632,Žygimantas Vaičiūnas,2016-12-13,2020-12-11,Q6338632-25501D67-4A9E-4C7A-98BA-12473DF658DD
Q717565,Arvydas Kostas Leščinskas,1995-05-15,1996-02-23,Q717565-5807675D-B3B4-4F0A-A9DE-341592D5589F
Q990707,Jaroslav Neverovič,2012-12-13,2014-08-25,Q990707-8F58862B-C17D-438C-A1CF-0E7A97ABDE4C
