item,itemLabel,startDate,endDate,sourceDate,psid
Q1164163,Danius Lygis,1999-11-11,2000-11-09,,Q1164163-59CB7885-2679-4AE0-BD6A-303D41B6AF57
Q1606341,Henrikas Žukauskas,2000-11-09,2001-07-12,,Q1606341-633E8673-CA97-4E1D-A6C5-B6CF1F4C9488
Q719259,Arūnas Kundrotas,2001-07-12,2004-12-14,,Q719259-BBECD46E-41CC-44B0-9DAD-0CD119108FDC
Q719259,Arūnas Kundrotas,2004-12-14,2006-07-18,,Q719259-3189CAC7-EA5F-47C0-BD7B-89DCB7DE1972
Q719259,Arūnas Kundrotas,2006-07-18,2008-01-31,,Q719259-9CA5AA21-168A-413E-960F-32DA8BB03AC5
Q356704,Artūras Paulauskas,2008-01-31,2008-12-09,,Q356704-C4A5968E-A397-4D02-A0EA-0442136F5664
Q940487,Gediminas Kazlauskas,2008-12-09,2012-12-13,,Q940487-4080EE4C-5110-4B26-9916-06E2762BEF1D
Q557932,Valentinas Mazuronis,2012-12-13,2014-06-15,,Q557932-4F461A59-55FF-43A2-9725-66F62E366253
Q4163510,Kęstutis Trečiokas,2014-07-17,2016-12-13,,Q4163510-C9DEB180-3F56-4624-A1A0-C2DCC47BC8A9
Q27977538,Kęstutis Navickas (1970),2016-12-13,2018-12-07,,Q27977538-5B4339C7-B072-4F73-BA22-BB36EF09EDCF
Q28371741,Kęstutis Mažeika,2019-04-04,2020-12-11,,Q28371741-BBD253A1-2684-486E-87C4-6BF867F50F05
Q27577960,Simonas Gentvilas,2020-12-11,,,Q27577960-C53069B9-426E-4820-8890-513255DC30D4
