position,title
Q878222,President
Q845439,Prime Minister
Q107735817,Minister of Agriculture
Q107735814,Minister of Culture
Q107735812,Minister of Economy and Innovation
Q30313091,Minister of Education and Science
Q107735809,"Minister of Education, Science and Sport"
Q107735806,Minister of Energy
Q107735803,Minister of Environment
Q29079132,Minister of Finance
Q25894090,Minister of Foreign Affairs
Q25707086,Minister of Health
Q107735730,Minister of the Interior
Q107735748,Minister of Justice
Q25470413,Minister of National Defence
Q107735743,Minister of Social Security and Labour
Q107735740,Minister of Transport and Communications
Q12663218,Speaker of the Seimas
Q30320778,Deputy Speaker of the Seimas
Q55607326,Chief of Defence
Q109496871,Governor of the Central Bank
Q109496914,Mayor of Vilnius
